donor_id,name,blood_group,area,contact,last_donation_date,eligible,total_donations
D001,Rahul Kumar,O+,Anna Nagar,9876543210,2026-01-15,Yes,5
D002,Priya S,A+,Velachery,9123456789,2026-06-20,No,2
D003,Arjun M,B+,Tambaram,9012345678,2025-12-10,Yes,6
D004,Karthik R,AB+,Adyar,,2026-03-15,Yes,3
D005,Priya S,O-,Anna Nagar,9345678901,2021-05-10,Yes,12
D006,Deepak V,B-,Porur,9789012345,2026-02-20,Yes,4
D007,Sneha R,AB-,Chromepet,9876501234,2026-07-10,No,1
D008,Vikram S,A-,Guindy,9567890123,2025-11-30,Yes,8
D009,Anitha K,O+,Tambaram,9871234567,2026-04-12,Yes,5
D010,Surya M,B+,Medavakkam,9988776655,2026-06-25,No,2
D011,Naveen R,AB+,Pallavaram,9123498765,2026-01-05,Yes,7
D012,Keerthana P,A+,T.Nagar,9787654321,2026-03-18,Yes,4
D013,Ramesh K,O-,Velachery,9345612789,2025-10-10,Yes,9
D014,Divya L,B-,Adyar,9000011111,2026-07-01,No,3
D015,Sanjay P,A-,Anna Nagar,9876001234,2026-02-28,Yes,6
D016,Lakshmi M,O+,Porur,9555512345,2026-05-15,No,2
D017,Harish N,AB-,Tambaram,9888812345,2025-09-20,Yes,10
D018,Meena S,B+,Guindy,9777712345,2026-04-01,Yes,5
D019,Ajith K,O+,Chromepet,9666612345,2026-06-18,No,1
D020,Pooja R,A+,Medavakkam,9444412345,2025-12-25,Yes,7
